species,avg_delta_rank,n_samples,n_samples_boosted,avg_biotxplorer_score
daucus carota,16.0,1,1,8.4016
pyrus pyrifolia,7.0,1,1,3.0405
brassica nigra,6.0,1,1,1.0346
brassica oleracea,6.0,1,1,10.0254
brassica rapa,3.0,1,1,2.483
malus sp,1.0,1,1,0.2822
pyrus communis,1.0,1,1,4.8269
prunus avium,0.0,1,0,0.9429
brassica napus,0.0,1,0,4.0489
ligustrum ovalifolium,0.0,1,0,0.0
gossypium hirsutum,0.0,1,0,0.3649
malus domestica,0.0,1,0,2.5817
malus sylvestris,-1.0,1,0,1.1796
rosa spinosissima,-1.0,1,0,0.0
syringa vulgaris,-1.0,1,0,0.0
rosa arkansana,-1.0,1,0,0.0
capsella bursa,-1.0,1,0,0.0
sinosenecio oldhamianus,-1.0,1,0,0.0
brassica carinata,-1.0,1,0,0.1935
oreocarya subretusa,-1.0,1,0,0.0
ilex aculeolata,-1.0,1,0,0.0
youngia erythrocarpa,-1.0,1,0,0.0
robinia pseudoacacia,-2.0,1,0,0.0
pyrus uyematsuana,-3.0,1,0,0.0
ligustrum sinense,-3.0,1,0,0.0
pyrus amygdaliformis,-3.0,1,0,0.0
rosa tomentosa,-4.0,1,0,0.0
rosa lucieae,-4.0,1,0,0.0
pterocypsela elata,-5.0,1,0,0.0
viburnum glomeratum,-5.0,1,0,0.0
