count	id	species1_id	species1_term	species1_form	species2_id	species2_term	species2_form	interaction_id	interaction_term	interaction_form	docs_count	passages_count	rank	doc_id	doc_score	passage_score	triplet_score	sentence	field	evaluation_species_identified	evaluation_pair_interacting	comment
1	601709;ROBI_000072	601709	Ambrosia	ambrosia	7170362	Scolytinae	Scolytinae	ROBI_000072	host	host	8	8	1	18767737	0.585	0.585	4.3933333333333335	Biology and host associations of redbay ambrosia beetle (Coleoptera: Curculionidae: Scolytinae), exotic vector of laurel wilt killing redbay trees in the southeastern United States.	title	0	0	
2	787466;ROBI_000003	787466	Platanus orientalis	Platanus orientalis	84060	Phytopythium litorale	Phytopythium litorale	ROBI_000313	pathogen	Pathogen of	1	1	1	32791883	0.6125	0.6125	0.6125	Phytopythium litorale: A Novel Killer Pathogen of Plane (Platanus orientalis) Causing Canker Stain and Root and Collar Rot.	title	1	1	
3	328581;ROBI_000072	328581	Piptadenia	Piptadenia	452610	Mimosa	Mimosa	ROBI_000072	host	hosts for	2	2	1	33276286	0.535625	0.535625	1.0660416666666666	Previous studies have recognized South and Central/Latin American mimosoid legumes in the genera Mimosa, Piptadenia and Calliandra as hosts for various nodulating Paraburkholderia species.	abstract	1	0	les 2 espces ont un pathogne commun
4	3944776;ROBI_000072	368049	Cistanche salsa	C. salsa	623566	Caroxylon passerinum	Caroxylon passerinum	ROBI_000072	host	host	1	1	1	36046015	0.7975	0.7975	0.7975	High-throughput sequencing was used here to reveal the similarities and differences in the structural composition of the soil microbial community of C. salsa from six host plants (i.e., Halocnemum strobilaceum, Atriplex patens, Kalidium foliatum, Caroxylon passerinum, Anabasis aphylla, Krascheninnikovia ceratoides).	abstract	1	1	
5	5743275;ROBI_000003	5743275	Armillifer grandis	Armillifer grandis	770315	Homo sapiens	human	ROBI_000314	infects	infections	1	1	1	25948609	0.481875	0.481875	0.481875	We describe a molecular and morphological study to diagnose a cluster of asymptomatic abdominal human infections caused by Armillifer grandis.	abstract	1	1	
6	130906;ROBI_000313	130906	Diglyphus isaea	D. isaea	5248883	endosymbionts	endosymbionts	ROBI_000314	infects	infected with	1	1	1	37278210	0.7810576923076923	0.7810576923076923	0.7810576923076923	mirabilis, D. isaea, H. varicornis, Opius sp. 1, and Opius sp. 2) were infected with Wolbachia, while two endosymbionts (Rickettsia and Wolbachia) co-infected N. okazakii. These findings provide background information about the parasitoid fauna expected to help control the leafminers.	abstract	0	0	endosymbionts n'est pas une espce
7	892400;ROBI_000003	1020638	Nicotiana benthamiana	Nicotiana benthamiana	117198	Chenopodium quinoa	Chenopodium quinoa	ROBI_000314	infects	infection|infect	14	14	1	22342277	0.8820833333333333	0.8820833333333333	7.874054834054835	A previous study showed that both Grapevine Algerian latent virus (GALV) and Tomato bushy stunt virus (TBSV) systemically infect Nicotiana benthamiana, but GALV causes systemic infection whereas TBSV causes only local lesions in Chenopodium quinoa (C.	abstract	1	0	pas la bonne paire selectionne
8	605248;ROBI_000001	309263	Arabidopsis thaliana	Arabidopsis thaliana	605248	Sisymbrium altissimum	Sisymbrium altissimum	ROBI_000204	grazes	herbivory	1	1	1	25893789	0.8726785714285714	0.8726785714285714	0.8726785714285714	Under common garden conditions, the spring flowering mustards (Capsella bursa-pastoris, Draba verna, Cardamine impatiens, Barbarea vulgaris, and Arabidopsis thaliana) were significantly more resistant to P. rapae, supporting 42 % less herbivory (Pâ=â0.015) and 64 % lower relative growth rates (Pâ=â0.007), relative to the summer flowering mustards (Sisymbrium altissimum, Brassica nigra, Sinapis arvense, Lepidium campestre, and Arabis canadensis).	abstract	1	0	pas la bonne paire selectionne
9	3747837;ROBI_000313	192930	Colletotrichum gloeosporioides	Colletotrichum gloeosporioides	3747837	Fusicoccum putrefaciens	Fusicoccum putrefaciens	ROBI_000313	pathogen	pathogens	1	1	1	38023868	0.5751785714285714	0.5751785714285714	0.5751785714285714	The most frequently isolated pathogens were identified asÂ Allantophomopsis cytisporea, Botrytis cinerea, Coleophoma empetri, Colletotrichum fioriniae, Colletotrichum gloeosporioides, Fusicoccum putrefaciens, Glomerella sp., Phomopsis vaccinii, Phyllosticta elongata, Phyllosticta vaccinii and Physalospora vaccinii. The pathogens Allantophomopsis cytisporea, Phyllosticta spp., and Physalospora vaccinii were found at high incidence.	abstract	1	0	liste de pathognes
10	806602;ROBI_000072	550505	Bursaphelenchus okinawaensis	Bursaphelenchus okinawaensis	806602	Eremothecium gossypii	Ashbya gossypii	ROBI_000072	host	host	1	1	1	30242007	0.8141666666666666	0.8141666666666666	0.8141666666666666	Here, we present an ecologically more relevant experimental setup to assess the toxicity of potential fungal defense proteins towards the fungivorous, stylet-feeding nematodes Aphelenchus avenae and Bursaphelenchus okinawaensis As a heterologous expression host, we exploited the filamentous fungus Ashbya gossypii Using this new system, we assessed the toxicity of six previously characterized, cytoplasmically localized, potential defense proteins from fruiting bodies of different fungal phyla against the two fungivorous nematodes.	abstract	1	1	
