name,regime,kd_mode,alpha,ner_scheme,pretrain,pair,seed,dev_auprc,threshold_dev,train_pos_rate,test500_auprc,test500_auc,test500_f1_devt,test500_f1_priort,test500_t_prior,ep_relax_auprc,ep_relax_auc,ep_relax_f1_devt,ep_relax_f1_priort,ep_relax_t_prior,test299_auprc,test299_auc,test299_f1_devt,test299_f1_priort,test299_t_prior
P_pair-0_a0.3_full_pre0_s1,P,fixed,0.3,full,0,False,1,0.9954282486624266,0.39,0.32715022935779814,0.8066283598656586,0.7837143924990656,0.740484429065744,0.7575757575757576,0.2748036628920061,0.7675438587949085,0.7443910256410257,0.6504065040650406,0.6504065040650406,0.34500698884343367,0.708823770208012,0.6830115481775532,0.6628571428571428,0.6869806094182825,0.288599034876518
P_pair-0_a0.3_full_pre2_s1,P,fixed,0.3,full,2,False,1,0.9958247547172038,0.65,0.32715022935779814,0.7845535162872137,0.7647345585726124,0.6768642447418738,0.7585034013605442,0.2748036628920061,0.7569276741206805,0.735176282051282,0.672566371681416,0.6349206349206349,0.34500698884343367,0.7251904811496498,0.6859888127029953,0.620253164556962,0.6888888888888889,0.288599034876518
P_pair-0_a0.3_full_typed_pre0_s1,P,fixed,0.3,full_typed,0,False,1,0.9962196068740211,0.77,0.32715022935779814,0.7869201539409201,0.7696420156323633,0.6448979591836734,0.7448979591836735,0.2748036628920061,0.7706827560028399,0.7455929487179487,0.6666666666666666,0.6507936507936508,0.34500698884343367,0.7188542474451753,0.6930710934680621,0.6112956810631229,0.6796657381615598,0.288599034876518
P_pair-0_a0.3_full_typed_pre2_s1,P,fixed,0.3,full_typed,2,False,1,0.9965181355509981,0.47000000000000003,0.32715022935779814,0.8123488793377263,0.7887355985635127,0.74822695035461,0.7658862876254181,0.2748036628920061,0.7795919395271721,0.7764423076923077,0.6885245901639344,0.6825396825396826,0.34500698884343367,0.7557963258547129,0.7266329844821364,0.7048710601719198,0.7204301075268817,0.288599034876518
P_pair-0_a0.5_full_pre0_s1,P,fixed,0.5,full,0,False,1,0.9951458347850762,0.34,0.32715022935779814,0.79985032890755,0.7807244186613368,0.7448275862068966,0.7712854757929883,0.2748036628920061,0.765990106112504,0.7479967948717948,0.6612903225806451,0.6666666666666666,0.34500698884343367,0.7233978288145915,0.689778058462649,0.6834733893557423,0.7046070460704607,0.288599034876518
P_pair-0_a0.5_full_pre2_s1,P,fixed,0.5,full,2,False,1,0.9963731356494456,0.46,0.32715022935779814,0.7910964439663131,0.7660995466289671,0.7124773960216998,0.7448275862068966,0.2748036628920061,0.7578200818117723,0.7307692307692307,0.65,0.656,0.34500698884343367,0.7227534868778571,0.6832370985203897,0.6488095238095238,0.6704545454545454,0.288599034876518
P_pair-0_a0.5_full_typed_pre0_s1,P,fixed,0.5,full_typed,0,False,1,0.9953961594814275,0.64,0.32715022935779814,0.7840417355525344,0.7748419701327613,0.7034990791896869,0.7452991452991453,0.2748036628920061,0.7986167453361296,0.7632211538461539,0.6666666666666666,0.672,0.34500698884343367,0.7074359812598183,0.686394803320101,0.6261398176291794,0.6815642458100558,0.288599034876518
P_pair-0_a0.5_full_typed_pre2_s1,P,fixed,0.5,full_typed,2,False,1,0.9963842019090065,0.7100000000000001,0.32715022935779814,0.8054452924341908,0.7884918506963065,0.7018867924528301,0.7551724137931034,0.2748036628920061,0.8002520400131481,0.7888621794871794,0.7068965517241379,0.6833333333333333,0.34500698884343367,0.7407574047718999,0.7153103572717431,0.6584615384615384,0.6985915492957746,0.288599034876518
P_pair-0_a0.7_full_pre0_s1,P,fixed,0.7,full,0,False,1,0.9953843302012308,0.65,0.32715022935779814,0.8068701877489104,0.7876793578056192,0.716636197440585,0.7666098807495741,0.2748036628920061,0.8109009120342148,0.7692307692307692,0.6782608695652174,0.6666666666666666,0.34500698884343367,0.7362006991575466,0.6963641284734753,0.6443768996960486,0.6892655367231638,0.288599034876518
P_pair-0_a0.7_full_pre2_s1,P,fixed,0.7,full,2,False,1,0.9962891060103947,0.21000000000000002,0.32715022935779814,0.7966219982890435,0.768699523879166,0.7538726333907056,0.7359154929577465,0.2748036628920061,0.7500274103041694,0.7383814102564102,0.656,0.6721311475409836,0.34500698884343367,0.725412623339666,0.6869812342114759,0.6910112359550562,0.6588921282798834,0.288599034876518
P_pair-0_a0.7_full_typed_pre0_s1,P,fixed,0.7,full_typed,0,False,1,0.9953912669744036,0.64,0.32715022935779814,0.8047169582447136,0.7882318529712866,0.7095588235294118,0.7517241379310344,0.2748036628920061,0.8025118785337974,0.7732371794871794,0.6610169491525424,0.6829268292682927,0.34500698884343367,0.7245772255960852,0.6894622879826777,0.6385542168674698,0.6818181818181818,0.288599034876518
P_pair-0_a0.7_full_typed_pre2_s1,P,fixed,0.7,full_typed,2,False,1,0.9961773440653632,0.59,0.32715022935779814,0.7976905451327136,0.7768732023594793,0.7205882352941176,0.7469458987783595,0.2748036628920061,0.7861183006755251,0.7788461538461539,0.7,0.6885245901639344,0.34500698884343367,0.7385574967401108,0.7109797906892819,0.6766467065868264,0.6988636363636364,0.288599034876518
P_pair-1_a0.3_full_pre0_s1,P,fixed,0.3,full,0,True,1,0.998681379297848,0.93,0.32715022935779814,0.7177364796856502,0.6915289491216952,0.5838509316770186,0.6704331450094162,0.2748036628920061,0.850032631517594,0.8501602564102564,0.7521367521367521,0.6911764705882353,0.34500698884343367,0.8412850623611117,0.8462648863226272,0.7916666666666666,0.7477064220183486,0.288599034876518
P_pair-1_a0.3_full_pre2_s1,P,fixed,0.3,full,2,True,1,0.9983563240401132,0.49,0.32715022935779814,0.7013256485829535,0.6891727197387024,0.6303501945525292,0.6716141001855288,0.2748036628920061,0.77286893386436,0.7592147435897436,0.7058823529411765,0.7007299270072993,0.34500698884343367,0.8000492375826386,0.7737730061349692,0.7634660421545667,0.7563805104408353,0.288599034876518
P_pair-1_a0.3_full_typed_pre0_s1,P,fixed,0.3,full_typed,0,True,1,0.9988299784193495,0.98,0.32715022935779814,0.7089618951552089,0.6945026731016104,0.3674540682414698,0.6628571428571428,0.2748036628920061,0.8340796792906053,0.8108974358974359,0.693069306930693,0.7007299270072993,0.34500698884343367,0.8296980876881962,0.8337242872609166,0.8034188034188035,0.7397260273972602,0.288599034876518
P_pair-1_a0.3_full_typed_pre2_s1,P,fixed,0.3,full_typed,2,True,1,0.9989108184308206,0.86,0.32715022935779814,0.6936286667363263,0.6953151659922977,0.577962577962578,0.6476190476190476,0.2748036628920061,0.8820798883811884,0.8774038461538463,0.7768595041322314,0.7111111111111111,0.34500698884343367,0.8624047665511929,0.8583543846986647,0.795,0.7465437788018433,0.288599034876518
P_pair-1_a0.5_full_pre0_s1,P,fixed,0.5,full,0,True,1,0.99897851693952,0.39,0.32715022935779814,0.7182512556847686,0.693381432912462,0.6692015209125475,0.6754221388367729,0.2748036628920061,0.8666646390983417,0.8549679487179487,0.7076923076923077,0.7272727272727273,0.34500698884343367,0.855277256529811,0.8487008300252616,0.7706855791962175,0.7652582159624414,0.288599034876518
