name,dataset,repeat,arch,threshold,best_val_cls_f1,test299_auprc,test299_f1,test299_auc,test500_auprc,test500_f1,test500_auc,ep_relax_auprc,ep_relax_f1,ep_relax_auc
V1_D0s_r1,D0s,r1,V1,0.4800000000000001,0.4004524886877828,0.8327673809434759,0.7279151943462897,0.8585348249729339,0.878695312869254,0.7670103092783506,0.8862022457303498,0.7909109982814476,0.7692307692307693,0.875
V1_D0s_r2,D0s,r2,V1,0.12000000000000001,0.38496583143507973,0.844143018514139,0.8085106382978723,0.8586250451100687,0.886112602920184,0.8388278388278388,0.89292968686524,0.7872940461870405,0.7889908256880734,0.859775641025641
V1_D0s_r3,D0s,r3,V1,0.7200000000000001,0.4022222222222222,0.8391505447082468,0.7330960854092526,0.8616925297726453,0.8781365348359819,0.7802874743326489,0.8869334893319683,0.7888594979666239,0.7777777777777778,0.8701923076923077
V1_D0v_r1,D0v,r1,V1,0.7200000000000001,0.9721739130434782,0.7237867100421381,0.6242424242424243,0.6766510285095634,0.7891160695057292,0.6901669758812616,0.7676514080501795,0.7962791944278491,0.6440677966101694,0.7592147435897436
V1_D0v_r2,D0v,r2,V1,0.14,0.9728783902012248,0.7494365602644388,0.6747720364741642,0.7185131721400215,0.7959260672555446,0.7091932457786116,0.773013861128715,0.7697890958924801,0.6956521739130435,0.7520032051282052
V1_D0v_r3,D0v,r3,V1,0.8000000000000002,0.9735587342869527,0.756224081805334,0.6805970149253732,0.7161674485745217,0.8042938577859966,0.73224043715847,0.7810006662441704,0.798020431709796,0.6949152542372882,0.7748397435897436
V1_D1_r1,D1,r1,V1,0.7200000000000001,0.9416581371545547,0.6771326077623921,0.6168831168831169,0.6439011187297006,0.7330156600752036,0.6074380165289256,0.719356830627732,0.6787056068035968,0.6274509803921569,0.6474358974358975
V1_D1_r2,D1,r2,V1,0.32000000000000006,0.9396110542476971,0.6525248663188155,0.6265822784810127,0.6326687116564417,0.7210405133327287,0.632,0.7060725718649961,0.6565418715709439,0.6415094339622641,0.6766826923076922
V1_D1_r3,D1,r3,V1,0.14,0.9392378990731205,0.6627348598352187,0.6394984326018809,0.6284283652111152,0.7206937058163055,0.6414342629482072,0.7109475292091195,0.7188621242892345,0.6727272727272727,0.7023237179487178
V1_D3_r1,D3,r1,V1,0.3400000000000001,0.36147757255936674,0.8347981618867578,0.7770700636942676,0.855738000721761,0.8712200961451891,0.8114285714285714,0.8768423276296333,0.8609646646836199,0.7843137254901961,0.8866185897435898
V1_D3_r2,D3,r2,V1,0.16000000000000003,0.3740053050397878,0.8397934727977102,0.8113207547169812,0.8605647780584627,0.886045233334336,0.8426966292134831,0.8945221729309869,0.8036087946673848,0.8301886792452831,0.8685897435897436
V1_D3_r3,D3,r3,V1,0.56,0.3783783783783784,0.8357495498059109,0.7202797202797203,0.854384698664742,0.8831936499897534,0.7806841046277666,0.8873722354929394,0.7881662393041162,0.7472527472527473,0.8645833333333333
